test,variant,rc,elapsed_s,stats_exists,tasks,max_complete_us,avg_complete_us,min_throughput_Gbps,avg_throughput_Gbps,log,stats
test04_tp_reduce_scatter,case01_standard,0,15.0,True,2,91.720826,91.715291,5122.2093,5122.5185,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test04_tp_reduce_scatter__case01_standard.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test04_tp_reduce_scatter/case01_standard/output/task_statistics.csv
test04_tp_reduce_scatter,case02_host_l1_lane_down,0,15.0,True,2,183.131365,182.991110,2565.3044,2567.2722,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test04_tp_reduce_scatter__case02_host_l1_lane_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test04_tp_reduce_scatter/case02_host_l1_lane_down/output/task_statistics.csv
test04_tp_reduce_scatter,case03_host_l1_port_down,0,15.0,True,2,99.675974,99.620019,4713.3643,4716.0135,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test04_tp_reduce_scatter__case03_host_l1_port_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test04_tp_reduce_scatter/case03_host_l1_port_down/output/task_statistics.csv
test04_tp_reduce_scatter,case04_l1_l2_lane_down,0,15.0,True,2,91.720826,91.715291,5122.2093,5122.5185,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test04_tp_reduce_scatter__case04_l1_l2_lane_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test04_tp_reduce_scatter/case04_l1_l2_lane_down/output/task_statistics.csv
test04_tp_reduce_scatter,case05_l1_l2_port_down,0,15.0,True,2,91.720826,91.715291,5122.2093,5122.5185,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test04_tp_reduce_scatter__case05_l1_l2_port_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test04_tp_reduce_scatter/case05_l1_l2_port_down/output/task_statistics.csv
test05_ep_all_to_all,case01_standard,0,25.0,True,12,629.316265,626.212612,1679.5711,1687.9189,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test05_ep_all_to_all__case01_standard.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test05_ep_all_to_all/case01_standard/output/task_statistics.csv
test05_ep_all_to_all,case02_host_l1_lane_down,0,75.0,True,12,1230.291711,1089.836741,859.1241,991.0299,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test05_ep_all_to_all__case02_host_l1_lane_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test05_ep_all_to_all/case02_host_l1_lane_down/output/task_statistics.csv
test05_ep_all_to_all,case03_host_l1_port_down,0,75.0,True,12,666.566551,635.304298,1585.7088,1672.9091,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test05_ep_all_to_all__case03_host_l1_port_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test05_ep_all_to_all/case03_host_l1_port_down/output/task_statistics.csv
test05_ep_all_to_all,case04_l1_l2_lane_down,0,25.0,True,12,629.316265,626.212612,1679.5711,1687.9189,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test05_ep_all_to_all__case04_l1_l2_lane_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test05_ep_all_to_all/case04_l1_l2_lane_down/output/task_statistics.csv
test05_ep_all_to_all,case05_l1_l2_port_down,0,25.0,True,12,629.316265,626.212612,1679.5711,1687.9189,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test05_ep_all_to_all__case05_l1_l2_port_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test05_ep_all_to_all/case05_l1_l2_port_down/output/task_statistics.csv
test06_pp_send_recv,case01_standard,0,40.0,True,8,390.292343,381.626199,4814.5867,4924.5877,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test06_pp_send_recv__case01_standard.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test06_pp_send_recv/case01_standard/output/task_statistics.csv
test06_pp_send_recv,case02_host_l1_lane_down,0,130.0,True,8,385.840139,379.521206,4870.1436,4951.7767,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test06_pp_send_recv__case02_host_l1_lane_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test06_pp_send_recv/case02_host_l1_lane_down/output/task_statistics.csv
test06_pp_send_recv,case03_host_l1_port_down,0,130.0,True,8,390.409686,380.340275,4813.1396,4941.6123,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test06_pp_send_recv__case03_host_l1_port_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test06_pp_send_recv/case03_host_l1_port_down/output/task_statistics.csv
test06_pp_send_recv,case04_l1_l2_lane_down,0,45.0,True,8,390.443628,381.459199,4812.7212,4926.7874,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test06_pp_send_recv__case04_l1_l2_lane_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test06_pp_send_recv/case04_l1_l2_lane_down/output/task_statistics.csv
test06_pp_send_recv,case05_l1_l2_port_down,0,45.0,True,8,393.359969,382.854742,4777.0391,4908.9339,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test06_pp_send_recv__case05_l1_l2_port_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test06_pp_send_recv/case05_l1_l2_port_down/output/task_statistics.csv
