test,variant,scope,traffic_rows,rc,elapsed_s,stats_exists,max_no_task_ms,log,stats
test05_ep_all_to_all,case02_host_l1_lane_down,POD_LOCAL,12,0,30.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test05_ep_all_to_all__case02_host_l1_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test05_ep_all_to_all/case02_host_l1_lane_down/output/task_statistics.csv
test05_ep_all_to_all,case03_host_l1_port_down,POD_LOCAL,12,0,30.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test05_ep_all_to_all__case03_host_l1_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test05_ep_all_to_all/case03_host_l1_port_down/output/task_statistics.csv
test05_ep_all_to_all,case04_l1_l2_lane_down,NONE,12,0,30.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test05_ep_all_to_all__case04_l1_l2_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test05_ep_all_to_all/case04_l1_l2_lane_down/output/task_statistics.csv
test05_ep_all_to_all,case05_l1_l2_port_down,NONE,12,0,30.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test05_ep_all_to_all__case05_l1_l2_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test05_ep_all_to_all/case05_l1_l2_port_down/output/task_statistics.csv
test06_pp_send_recv,case01_standard,NONE,8,0,60.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test06_pp_send_recv__case01_standard.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test06_pp_send_recv/case01_standard/output/task_statistics.csv
test06_pp_send_recv,case02_host_l1_lane_down,POD_LOCAL,8,0,90.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test06_pp_send_recv__case02_host_l1_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test06_pp_send_recv/case02_host_l1_lane_down/output/task_statistics.csv
test06_pp_send_recv,case03_host_l1_port_down,POD_LOCAL,8,0,90.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test06_pp_send_recv__case03_host_l1_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test06_pp_send_recv/case03_host_l1_port_down/output/task_statistics.csv
test06_pp_send_recv,case04_l1_l2_lane_down,NONE,8,0,60.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test06_pp_send_recv__case04_l1_l2_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test06_pp_send_recv/case04_l1_l2_lane_down/output/task_statistics.csv
test06_pp_send_recv,case05_l1_l2_port_down,NONE,8,0,60.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test06_pp_send_recv__case05_l1_l2_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test06_pp_send_recv/case05_l1_l2_port_down/output/task_statistics.csv
test07_dp_reduce_scatter,case01_standard,NONE,342,0,255.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test07_dp_reduce_scatter__case01_standard.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test07_dp_reduce_scatter/case01_standard/output/task_statistics.csv
