test,variant,scope,tasks,max_complete_us,avg_complete_us,min_throughput_Gbps,avg_throughput_Gbps,stats
test07_dp_reduce_scatter,case01_standard,NONE,342,1658.871241,869.8583263918129,4795.5218,5041.728598538011,scratch/pod1d_no_access_pairwise_2mb_full_ps/test07_dp_reduce_scatter/case01_standard/output/task_statistics.csv
test07_dp_reduce_scatter,case02_host_l1_lane_down,POD_LOCAL,342,3416.313719,1712.8861901374269,2323.5755,4738.014871929825,scratch/pod1d_no_access_pairwise_2mb_full_ps/test07_dp_reduce_scatter/case02_host_l1_lane_down/output/task_statistics.csv
test07_dp_reduce_scatter,case03_host_l1_port_down,POD_LOCAL,342,1707.182686,895.634759116959,4590.6847,5016.418032163742,scratch/pod1d_no_access_pairwise_2mb_full_ps/test07_dp_reduce_scatter/case03_host_l1_port_down/output/task_statistics.csv
test07_dp_reduce_scatter,case04_l1_l2_lane_down,NONE,342,1659.762706,870.063271494152,4793.0328,5043.4225523391815,scratch/pod1d_no_access_pairwise_2mb_full_ps/test07_dp_reduce_scatter/case04_l1_l2_lane_down/output/task_statistics.csv
test07_dp_reduce_scatter,case05_l1_l2_port_down,NONE,342,1661.917575,871.4948827222222,4794.796,5041.220359649123,scratch/pod1d_no_access_pairwise_2mb_full_ps/test07_dp_reduce_scatter/case05_l1_l2_port_down/output/task_statistics.csv
test08_dp_all_gather,case01_standard,NONE,342,1357.979735,714.8825621900585,4981.4878,5113.01720994152,scratch/pod1d_no_access_pairwise_2mb_full_ps/test08_dp_all_gather/case01_standard/output/task_statistics.csv
test08_dp_all_gather,case02_host_l1_lane_down,POD_LOCAL,342,2666.167827,1343.2852793274853,2508.1802,4796.683549122807,scratch/pod1d_no_access_pairwise_2mb_full_ps/test08_dp_all_gather/case02_host_l1_lane_down/output/task_statistics.csv
test08_dp_all_gather,case03_host_l1_port_down,POD_LOCAL,342,1462.000659,764.6585435701754,4555.369,5062.863714912281,scratch/pod1d_no_access_pairwise_2mb_full_ps/test08_dp_all_gather/case03_host_l1_port_down/output/task_statistics.csv
test08_dp_all_gather,case04_l1_l2_lane_down,NONE,342,1359.480433,715.992673,4952.8298,5111.293942690058,scratch/pod1d_no_access_pairwise_2mb_full_ps/test08_dp_all_gather/case04_l1_l2_lane_down/output/task_statistics.csv
test08_dp_all_gather,case05_l1_l2_port_down,NONE,342,1360.446091,716.2560961871345,4962.0127,5111.516127777778,scratch/pod1d_no_access_pairwise_2mb_full_ps/test08_dp_all_gather/case05_l1_l2_port_down/output/task_statistics.csv
test09_dp_reduce_scatter,case01_standard,NONE,342,1357.979735,714.8825621900585,4981.4878,5113.01720994152,scratch/pod1d_no_access_pairwise_2mb_full_ps/test09_dp_reduce_scatter/case01_standard/output/task_statistics.csv
test09_dp_reduce_scatter,case02_host_l1_lane_down,POD_LOCAL,342,2666.167827,1343.2852793274853,2508.1802,4796.683549122807,scratch/pod1d_no_access_pairwise_2mb_full_ps/test09_dp_reduce_scatter/case02_host_l1_lane_down/output/task_statistics.csv
test09_dp_reduce_scatter,case03_host_l1_port_down,POD_LOCAL,342,1462.000659,764.6585435701754,4555.369,5062.863714912281,scratch/pod1d_no_access_pairwise_2mb_full_ps/test09_dp_reduce_scatter/case03_host_l1_port_down/output/task_statistics.csv
test09_dp_reduce_scatter,case04_l1_l2_lane_down,NONE,342,1359.480433,715.992673,4952.8298,5111.293942690058,scratch/pod1d_no_access_pairwise_2mb_full_ps/test09_dp_reduce_scatter/case04_l1_l2_lane_down/output/task_statistics.csv
test09_dp_reduce_scatter,case05_l1_l2_port_down,NONE,342,1360.446091,716.2560961871345,4962.0127,5111.516127777778,scratch/pod1d_no_access_pairwise_2mb_full_ps/test09_dp_reduce_scatter/case05_l1_l2_port_down/output/task_statistics.csv
