case_id,block_id,role,control_id,topology_profile,workload_profile,routing_type,selector,candidate_width,traffic_seed_kind,traffic_seed,flow_size_bytes,flow_count,path_delay,path_rate_ratio,interarrival_gap_ns,active_ingress_count,transport,observability,run_status,task_count,completed_task_count,mean_task_duration_us,p50_task_duration_us,p95_task_duration_us,p99_task_duration_us,aggregate_task_goodput_gbps,branch_packet_counts,branch_byte_counts,branch_total_bytes,unique_branch_ports,path_jain,path_cv,max_path_share,last_path_share,detour_share,slow_path_share,queue_max_bytes,queue_tw_mean_max_bytes,slow_path_queue_max_bytes,slow_path_queue_tw_mean_bytes,packet_records,psn_adjacent_inversions,psn_inversions_per_1000,per_flow_affinity_violations,analysis_status,analysis_note,p95_delta_vs_control_pct,goodput_delta_vs_control_pct,jain_delta_vs_control,comparison_cell,pareto
h-elephant-w8-s11-crc32,hash-robustness,treatment,h-elephant-w8-s11-hash64,clos-hash,hash-elephant,PER_FLOW_SHORTEST_PATHS,CRC32,8,traffic_key_seed,11,16777216,4,20ns,1.0,0,0,RTP,balanced,success,4,4,1369.67259,1369.62062,1369.74378,1369.74378,391.949881,"{""8"": 4096, ""9"": 0, ""10"": 4096, ""11"": 0, ""12"": 0, ""13"": 8192, ""14"": 0, ""15"": 0}","{""8"": 17096704, ""9"": 0, ""10"": 17096704, ""11"": 0, ""12"": 0, ""13"": 34193408, ""14"": 0, ""15"": 0}",68386816,3,0.333333,1.414214,0.5,0.0,0.75,0.25,981820,885477.408932,472096,403515.242669,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-49.98075,99.923029,0.0,hash-elephant|w8|s11,True
h-elephant-w8-s29-hash64,hash-robustness,control,h-elephant-w8-s29-hash64,clos-hash,hash-elephant,PER_FLOW_SHORTEST_PATHS,HASH64,8,traffic_key_seed,29,16777216,4,20ns,1.0,0,0,RTP,balanced,success,4,4,1369.66424,1369.63226,1369.74378,1369.74378,391.949881,"{""8"": 4096, ""9"": 4096, ""10"": 0, ""11"": 0, ""12"": 4096, ""13"": 4096, ""14"": 0, ""15"": 0}","{""8"": 17096704, ""9"": 17096704, ""10"": 0, ""11"": 0, ""12"": 17096704, ""13"": 17096704, ""14"": 0, ""15"": 0}",68386816,4,0.5,1.0,0.25,0.0,0.75,0.25,981820,885476.200428,472096,403317.008482,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,0.0,0.0,0.0,hash-elephant|w8|s29,True
h-elephant-w8-s29-toeplitz,hash-robustness,treatment,h-elephant-w8-s29-hash64,clos-hash,hash-elephant,PER_FLOW_SHORTEST_PATHS,TOEPLITZ,8,traffic_key_seed,29,16777216,4,20ns,1.0,0,0,RTP,balanced,success,4,4,1369.66009,1369.62062,1369.74378,1369.74378,391.949881,"{""8"": 4096, ""9"": 0, ""10"": 0, ""11"": 4096, ""12"": 0, ""13"": 4096, ""14"": 0, ""15"": 4096}","{""8"": 17096704, ""9"": 0, ""10"": 0, ""11"": 17096704, ""12"": 0, ""13"": 17096704, ""14"": 0, ""15"": 17096704}",68386816,4,0.5,1.0,0.25,0.25,0.75,0.25,981820,885477.402927,472096,403317.008482,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,0.0,0.0,0.0,hash-elephant|w8|s29,True
h-elephant-w8-s47-crc32,hash-robustness,treatment,h-elephant-w8-s47-hash64,clos-hash,hash-elephant,PER_FLOW_SHORTEST_PATHS,CRC32,8,traffic_key_seed,47,16777216,4,20ns,1.0,0,0,RTP,balanced,success,4,4,1369.62062,1369.62062,1369.62062,1369.62062,391.985127,"{""8"": 0, ""9"": 0, ""10"": 4096, ""11"": 0, ""12"": 0, ""13"": 4096, ""14"": 8192, ""15"": 0}","{""8"": 0, ""9"": 0, ""10"": 17096704, ""11"": 0, ""12"": 0, ""13"": 17096704, ""14"": 34193408, ""15"": 0}",68386816,3,0.333333,1.414214,0.5,0.0,1.0,0.0,981820,885477.402927,80,80.0,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-49.987421,99.949698,0.0,hash-elephant|w8|s47,True
s-16k-d20n-packet-rr,spray-crossover,treatment,s-16k-d20n-flow-hash64,micro-spray,single-flow,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,3,none,0,16384,1,20ns,1.0,0,0,RTP,detailed,success,1,1,0.478515,0.478515,0.478515,0.478515,273.914088,"{""1"": 2, ""2"": 1, ""3"": 1}","{""1"": 8348, ""2"": 4174, ""3"": 4174}",16696,3,0.888889,0.353553,0.5,0.25,0.5,0.5,8348,8318.632186,8348,8249.184882,5,0,0.0,1,matched,Observed path scope matches the registered flow/packet behavior.,-25.866108,34.891069,0.555556,16384|20ns,True
s-16k-d2u-flow-hash64,spray-crossover,control,s-16k-d2u-flow-hash64,micro-spray,single-flow,PER_FLOW_SHORTEST_PATHS,HASH64,3,none,0,16384,1,2us,1.0,0,0,RTP,detailed,success,1,1,0.645474,0.645474,0.645474,0.645474,203.063175,"{""1"": 0, ""2"": 4, ""3"": 0}","{""1"": 0, ""2"": 16696, ""3"": 0}",16696,1,0.333333,1.414214,1.0,0.0,1.0,0.0,12522,3933.386854,0,0.0,5,0,0.0,0,matched,Observed path scope matches the registered flow/packet behavior.,0.0,0.0,0.0,16384|2us,True
s-16k-d20u-flow-hash64,spray-crossover,control,s-16k-d20u-flow-hash64,micro-spray,single-flow,PER_FLOW_SHORTEST_PATHS,HASH64,3,none,0,16384,1,20us,1.0,0,0,RTP,detailed,success,1,1,0.645474,0.645474,0.645474,0.645474,203.063175,"{""1"": 0, ""2"": 4, ""3"": 0}","{""1"": 0, ""2"": 16696, ""3"": 0}",16696,1,0.333333,1.414214,1.0,0.0,1.0,0.0,12522,3933.386854,0,0.0,5,0,0.0,0,matched,Observed path scope matches the registered flow/packet behavior.,0.0,0.0,0.0,16384|20us,True
s-256k-d20n-flow-hash64,spray-crossover,control,s-256k-d20n-flow-hash64,micro-spray,single-flow,PER_FLOW_SHORTEST_PATHS,HASH64,3,none,0,262144,1,20ns,1.0,0,0,RTP,detailed,success,1,1,5.655514,5.655514,5.655514,5.655514,370.815456,"{""1"": 0, ""2"": 64, ""3"": 0}","{""1"": 0, ""2"": 267136, ""3"": 0}",267136,1,0.333333,1.414214,1.0,0.0,1.0,0.0,179544,86134.406214,0,0.0,68,0,0.0,0,matched,Observed path scope matches the registered flow/packet behavior.,0.0,0.0,0.0,262144|20ns,True
s-256k-d20n-packet-rr,spray-crossover,treatment,s-256k-d20n-flow-hash64,micro-spray,single-flow,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,3,none,0,262144,1,20ns,1.0,0,0,RTP,detailed,success,1,1,2.204782,2.204782,2.204782,2.204782,951.183382,"{""1"": 22, ""2"": 20, ""3"": 22}","{""1"": 91828, ""2"": 83480, ""3"": 91828}",267136,3,0.998051,0.044194,0.34375,0.34375,0.65625,0.34375,8348,7655.875133,8348,6005.067662,68,5,73.529412,1,matched,Observed path scope matches the registered flow/packet behavior.,-61.015356,156.511256,0.664717,262144|20ns,True
s-256k-d2u-flow-hash64,spray-crossover,control,s-256k-d2u-flow-hash64,micro-spray,single-flow,PER_FLOW_SHORTEST_PATHS,HASH64,3,none,0,262144,1,2us,1.0,0,0,RTP,detailed,success,1,1,5.655514,5.655514,5.655514,5.655514,370.815456,"{""1"": 0, ""2"": 64, ""3"": 0}","{""1"": 0, ""2"": 267136, ""3"": 0}",267136,1,0.333333,1.414214,1.0,0.0,1.0,0.0,179544,86134.406214,0,0.0,68,0,0.0,0,matched,Observed path scope matches the registered flow/packet behavior.,0.0,0.0,0.0,262144|2us,True
