case_id,block_id,role,control_id,topology_profile,routing_type,selector,path_rate_ratio,interarrival_gap_ns,pairing_seed,run_status,task_count,completed_task_count,mean_task_duration_us,p50_task_duration_us,p95_task_duration_us,mean_task_throughput_gbps,aggregate_task_goodput_gbps,branch_packet_counts,branch_byte_counts,unique_branch_ports,path_jain,max_path_share,detour_share,queue_max_bytes,empty_before_arrival_fraction,comparison_status,comparison_reason,p95_fct_delta_vs_control_pct,goodput_delta_vs_control_pct
as-r50-g1u-adaptive,adaptive-single-packet-sparse,treatment,as-r50-g1u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ADAPTIVE,0.5,1000,0,success,64,64,0.2805939999999997,0.2805940000000007,0.2805940000000007,29.1952,8.28513082541545,"{""1"": 64, ""2"": 0, ""3"": 0}","{""1"": 70528, ""2"": 0, ""3"": 0}",1,0.3333333333333333,1.0,0.0,2204,1.0,matched,Adaptive tie behavior was checked only after branch queues drained.,1.2661402876756229e-12,-0.07806500678547604
as-r50-g10u-hash64,adaptive-single-packet-sparse,control,as-r50-g10u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,HASH64,0.5,10000,0,success,64,64,0.24439900000000753,0.23119400000001633,0.2805940000000078,33.720275,0.8318978892054018,"{""1"": 17, ""2"": 30, ""3"": 17}","{""1"": 18734, ""2"": 33060, ""3"": 18734}",3,0.9237708615245828,0.46875,0.734375,2204,1.0,matched,Static-hash control completed with path and queue evidence.,0.0,0.0
as-r50-g10u-rr,adaptive-single-packet-sparse,treatment,as-r50-g10u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,0.5,10000,0,success,64,64,0.24824496874999546,0.23514799999998104,0.2770680000000141,33.2228984375,0.8318373404630993,"{""1"": 22, ""2"": 21, ""3"": 21}","{""1"": 24244, ""2"": 23142, ""3"": 23142}",3,0.9995119570522206,0.34375,0.65625,2204,1.0,matched,Round robin was checked for deterministic three-path spreading.,-1.2566198849560586,-0.007278386336605478
as-r50-g10u-adaptive,adaptive-single-packet-sparse,treatment,as-r50-g10u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ADAPTIVE,0.5,10000,0,success,64,64,0.2805940000000162,0.2805940000000078,0.2805940000000646,29.1952,0.8318326868873896,"{""1"": 64, ""2"": 0, ""3"": 0}","{""1"": 70528, ""2"": 0, ""3"": 0}",1,0.3333333333333333,1.0,0.0,2204,1.0,matched,Adaptive tie behavior was checked only after branch queues drained.,2.0258244602809197e-11,-0.007837778994052014
as-r50-g100u-hash64,adaptive-single-packet-sparse,control,as-r50-g100u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,HASH64,0.5,100000,0,success,64,64,0.24439899999992917,0.23119399999999998,0.28059399999983725,33.720275,0.08321726359808884,"{""1"": 17, ""2"": 30, ""3"": 17}","{""1"": 18734, ""2"": 33060, ""3"": 18734}",3,0.9237708615245828,0.46875,0.734375,2204,1.0,matched,Static-hash control completed with path and queue evidence.,0.0,0.0
as-r50-g100u-rr,adaptive-single-packet-sparse,treatment,as-r50-g100u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,0.5,100000,0,success,64,64,0.2482449687498499,0.23514799999975367,0.27706799999998566,33.2228984375,0.08321665767096706,"{""1"": 22, ""2"": 21, ""3"": 21}","{""1"": 24244, ""2"": 23142, ""3"": 23142}",3,0.9995119570522206,0.34375,0.65625,2204,1.0,matched,Round robin was checked for deterministic three-path spreading.,-1.2566198849061767,-0.0007281267078298682
as-r50-g100u-adaptive,adaptive-single-packet-sparse,treatment,as-r50-g100u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ADAPTIVE,0.5,100000,0,success,64,64,0.2805939999999062,0.28059399999983725,0.2805940000000646,29.1952,0.08321661109813104,"{""1"": 64, ""2"": 0, ""3"": 0}","{""1"": 70528, ""2"": 0, ""3"": 0}",1,0.3333333333333333,1.0,0.0,2204,1.0,matched,Adaptive tie behavior was checked only after branch queues drained.,8.103297841128604e-11,-0.0007840920616574203
as-r25-g1u-hash64,adaptive-single-packet-sparse,control,as-r25-g1u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,HASH64,0.25,1000,0,success,64,64,0.27019025000000085,0.23119400000000212,0.37719399999999936,31.540189062499998,8.291603666380235,"{""1"": 17, ""2"": 30, ""3"": 17}","{""1"": 18734, ""2"": 33060, ""3"": 18734}",3,0.9237708615245828,0.46875,0.734375,2204,1.0,matched,Static-hash control completed with path and queue evidence.,0.0,0.0
as-r25-g1u-rr,adaptive-single-packet-sparse,treatment,as-r25-g1u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,0.25,1000,0,success,64,64,0.2802955937500013,0.24146800000000024,0.3642280000000042,30.48990625,8.274195339364033,"{""1"": 22, ""2"": 21, ""3"": 21}","{""1"": 24244, ""2"": 23142, ""3"": 23142}",3,0.9995119570522206,0.34375,0.65625,2204,1.0,matched,Round robin was checked for deterministic three-path spreading.,-3.4374884011928,-0.20995126777208767
as-r25-g1u-adaptive,adaptive-single-packet-sparse,treatment,as-r25-g1u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ADAPTIVE,0.25,1000,0,success,64,64,0.37719400000000125,0.37719400000000025,0.3771940000000029,21.7183,8.272502566143903,"{""1"": 64, ""2"": 0, ""3"": 0}","{""1"": 70528, ""2"": 0, ""3"": 0}",1,0.3333333333333333,1.0,0.0,2204,1.0,matched,Adaptive tie behavior was checked only after branch queues drained.,9.418796902391095e-13,-0.23036677830828947
as-r25-g10u-hash64,adaptive-single-packet-sparse,control,as-r25-g10u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,HASH64,0.25,10000,0,success,64,64,0.27019025000000274,0.23119400000001633,0.37719400000003134,31.540189062499998,0.8318978892054018,"{""1"": 17, ""2"": 30, ""3"": 17}","{""1"": 18734, ""2"": 33060, ""3"": 18734}",3,0.9237708615245828,0.46875,0.734375,2204,1.0,matched,Static-hash control completed with path and queue evidence.,0.0,0.0
as-r25-g10u-rr,adaptive-single-packet-sparse,treatment,as-r25-g10u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,0.25,10000,0,success,64,64,0.28029559375000823,0.24146799999999757,0.36422800000002553,30.48990625,0.8317223229234385,"{""1"": 22, ""2"": 21, ""3"": 21}","{""1"": 24244, ""2"": 23142, ""3"": 23142}",3,0.9995119570522206,0.34375,0.65625,2204,1.0,matched,Round robin was checked for deterministic three-path spreading.,-3.4374884011953344,-0.021104306699340332
as-r25-g10u-adaptive,adaptive-single-packet-sparse,treatment,as-r25-g10u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ADAPTIVE,0.25,10000,0,success,64,64,0.37719400000001824,0.37719400000003134,0.37719400000003134,21.7183,0.8317052155284665,"{""1"": 64, ""2"": 0, ""3"": 0}","{""1"": 70528, ""2"": 0, ""3"": 0}",1,0.3333333333333333,1.0,0.0,2204,1.0,matched,Adaptive tie behavior was checked only after branch queues drained.,0.0,-0.02316073636383925
as-r25-g100u-hash64,adaptive-single-packet-sparse,control,as-r25-g100u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,HASH64,0.25,100000,0,success,64,64,0.27019024999991154,0.23119399999999998,0.3771939999996903,31.540189062499998,0.08321726359808884,"{""1"": 17, ""2"": 30, ""3"": 17}","{""1"": 18734, ""2"": 33060, ""3"": 18734}",3,0.9237708615245828,0.46875,0.734375,2204,1.0,matched,Static-hash control completed with path and queue evidence.,0.0,0.0
as-r25-g100u-rr,adaptive-single-packet-sparse,treatment,as-r25-g100u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,0.25,100000,0,success,64,64,0.28029559374989393,0.24146799999999757,0.364228,30.48990625,0.08321550644166982,"{""1"": 22, ""2"": 21, ""3"": 21}","{""1"": 24244, ""2"": 23142, ""3"": 23142}",3,0.9995119570522206,0.34375,0.65625,2204,1.0,matched,Round robin was checked for deterministic three-path spreading.,-3.4374884011147917,-0.002111528717776761
as-r25-g100u-adaptive,adaptive-single-packet-sparse,treatment,as-r25-g100u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ADAPTIVE,0.25,100000,0,success,64,64,0.3771939999997828,0.3771939999996903,0.37719400000003134,21.7183,0.08321533518648566,"{""1"": 64, ""2"": 0, ""3"": 0}","{""1"": 70528, ""2"": 0, ""3"": 0}",1,0.3333333333333333,1.0,0.0,2204,1.0,matched,Adaptive tie behavior was checked only after branch queues drained.,9.042045026302861e-11,-0.0023173215746361614
pf-neutral-s11-short,per-flow-all-distinct-keys,control,pf-neutral-s11-short,clos-distinct-neutral,PER_FLOW_SHORTEST_PATHS,HASH64,1.0,0,11,success,32,32,147.7476375,159.37422,171.4499,15.419828125,391.22918233174204,"{""8"": 2048, ""9"": 0, ""10"": 0}","{""8"": 8548352, ""9"": 0, ""10"": 0}",1,0.3333333333333333,1.0,0.0,5960534,1.0,matched,Shortest-only control stayed on the sole minimum-metric branch.,0.0,0.0
pf-neutral-s11-all,per-flow-all-distinct-keys,treatment,pf-neutral-s11-short,clos-distinct-neutral,PER_FLOW_ALL_PATHS,HASH64,1.0,0,11,success,32,32,51.14844625,48.68262,69.80901999999999,45.65606875,960.1726079336123,"{""8"": 768, ""9"": 832, ""10"": 448}","{""8"": 3205632, ""9"": 3472768, ""10"": 1869952}",3,0.9429097605893186,0.40625,0.625,1817240,1.0,matched,Distinct flow keys were checked for detour use and regime-dependent FCT sign.,-59.28313752297319,145.42458775977397
pf-neutral-s29-short,per-flow-all-distinct-keys,control,pf-neutral-s29-short,clos-distinct-neutral,PER_FLOW_SHORTEST_PATHS,HASH64,1.0,0,29,success,32,32,157.2585075,160.0685,171.43006,13.47691875,391.27443815806026,"{""8"": 2048, ""9"": 0, ""10"": 0}","{""8"": 8548352, ""9"": 0, ""10"": 0}",1,0.3333333333333333,1.0,0.0,6761880,1.0,matched,Shortest-only control stayed on the sole minimum-metric branch.,0.0,0.0
pf-neutral-s29-all,per-flow-all-distinct-keys,treatment,pf-neutral-s29-short,clos-distinct-neutral,PER_FLOW_ALL_PATHS,HASH64,1.0,0,29,success,32,32,49.63106625,48.50782,69.81398,45.0587,960.1044730380761,"{""8"": 576, ""9"": 832, ""10"": 640}","{""8"": 2404224, ""9"": 3472768, ""10"": 2671360}",3,0.9752380952380952,0.40625,0.71875,2058030,1.0,matched,Distinct flow keys were checked for detour use and regime-dependent FCT sign.,-59.27553195746417,145.37878772705045
pf-neutral-s47-short,per-flow-all-distinct-keys,control,pf-neutral-s47-short,clos-distinct-neutral,PER_FLOW_SHORTEST_PATHS,HASH64,1.0,0,47,success,32,32,143.39553750000002,154.68942,171.4499,15.554975,391.22918233174204,"{""8"": 2048, ""9"": 0, ""10"": 0}","{""8"": 8548352, ""9"": 0, ""10"": 0}",1,0.3333333333333333,1.0,0.0,5730902,1.0,matched,Shortest-only control stayed on the sole minimum-metric branch.,0.0,0.0
pf-neutral-s47-all,per-flow-all-distinct-keys,treatment,pf-neutral-s47-short,clos-distinct-neutral,PER_FLOW_ALL_PATHS,HASH64,1.0,0,47,success,32,32,54.042758125,59.037620000000004,75.15545999999999,43.972228125,891.9432410929767,"{""8"": 384, ""9"": 896, ""10"": 768}","{""8"": 1602816, ""9"": 3739904, ""10"": 3205632}",3,0.9078014184397163,0.4375,0.8125,1974550,1.0,matched,Distinct flow keys were checked for detour use and regime-dependent FCT sign.,-56.164768833344326,127.98484401827037
pf-capacity-s11-short,per-flow-all-distinct-keys,control,pf-capacity-s11-short,clos-distinct-capacity,PER_FLOW_SHORTEST_PATHS,HASH64,1.0,0,11,success,32,32,589.97957,636.4859,684.78862,3.863575,97.95162190985572,"{""8"": 2048, ""9"": 0, ""10"": 0}","{""8"": 8548352, ""9"": 0, ""10"": 0}",1,0.3333333333333333,1.0,0.0,6632486,1.0,matched,Shortest-only control stayed on the sole minimum-metric branch.,0.0,0.0
pf-capacity-s11-all,per-flow-all-distinct-keys,treatment,pf-capacity-s11-short,clos-distinct-capacity,PER_FLOW_ALL_PATHS,HASH64,1.0,0,11,success,32,32,115.13760437500001,69.5586,257.11310000000003,34.793690624999996,260.67422503942805,"{""8"": 768, ""9"": 832, ""10"": 448}","{""8"": 3205632, ""9"": 3472768, ""10"": 1869952}",3,0.9429097605893186,0.40625,0.625,2748042,1.0,matched,Distinct flow keys were checked for detour use and regime-dependent FCT sign.,-62.45365467667964,166.1254810862907
pf-capacity-s29-short,per-flow-all-distinct-keys,control,pf-capacity-s29-short,clos-distinct-capacity,PER_FLOW_SHORTEST_PATHS,HASH64,1.0,0,29,success,32,32,628.02299,639.26302,684.70926,3.374771875,97.96296928319175,"{""8"": 2048, ""9"": 0, ""10"": 0}","{""8"": 8548352, ""9"": 0, ""10"": 0}",1,0.3333333333333333,1.0,0.0,7433894,1.0,matched,Shortest-only control stayed on the sole minimum-metric branch.,0.0,0.0
pf-capacity-s29-all,per-flow-all-distinct-keys,treatment,pf-capacity-s29-short,clos-distinct-capacity,PER_FLOW_ALL_PATHS,HASH64,1.0,0,29,success,32,32,84.2900475,53.860640000000004,193.10598000000002,34.034771875,346.89934145387554,"{""8"": 576, ""9"": 832, ""10"": 640}","{""8"": 2404224, ""9"": 3472768, ""10"": 2671360}",3,0.9752380952380952,0.40625,0.71875,2137708,1.0,matched,Distinct flow keys were checked for detour use and regime-dependent FCT sign.,-71.79737572119296,254.11272646407593
pf-capacity-s47-short,per-flow-all-distinct-keys,control,pf-capacity-s47-short,clos-distinct-capacity,PER_FLOW_SHORTEST_PATHS,HASH64,1.0,0,47,success,32,32,572.48695,618.07566,684.78862,3.8970249999999997,97.95162190985572,"{""8"": 2048, ""9"": 0, ""10"": 0}","{""8"": 8548352, ""9"": 0, ""10"": 0}",1,0.3333333333333333,1.0,0.0,6419612,1.0,matched,Shortest-only control stayed on the sole minimum-metric branch.,0.0,0.0
pf-capacity-s47-all,per-flow-all-distinct-keys,treatment,pf-capacity-s47-short,clos-distinct-capacity,PER_FLOW_ALL_PATHS,HASH64,1.0,0,47,success,32,32,69.87576,64.30928,128.9735,33.75643125,518.986953726244,"{""8"": 384, ""9"": 896, ""10"": 768}","{""8"": 1602816, ""9"": 3739904, ""10"": 3205632}",3,0.9078014184397163,0.4375,0.8125,1899418,1.0,matched,Distinct flow keys were checked for detour use and regime-dependent FCT sign.,-81.16593993632662,429.8400818761986
pf-latency-s11-short,per-flow-all-distinct-keys,control,pf-latency-s11-short,clos-distinct-latency,PER_FLOW_SHORTEST_PATHS,HASH64,1.0,0,11,success,32,32,147.7476375,159.37422,171.4499,15.419828125,391.22918233174204,"{""8"": 2048, ""9"": 0, ""10"": 0}","{""8"": 8548352, ""9"": 0, ""10"": 0}",1,0.3333333333333333,1.0,0.0,5960534,1.0,matched,Shortest-only control stayed on the sole minimum-metric branch.,0.0,0.0
pf-latency-s11-all,per-flow-all-distinct-keys,treatment,pf-latency-s11-short,clos-distinct-latency,PER_FLOW_ALL_PATHS,HASH64,1.0,0,11,success,32,32,132.601734375,128.36388000000002,218.8102,18.81714375,306.5820082151298,"{""8"": 768, ""9"": 832, ""10"": 448}","{""8"": 3205632, ""9"": 3472768, ""10"": 1869952}",3,0.9429097605893186,0.40625,0.625,2103696,1.0,matched,Distinct flow keys were checked for detour use and regime-dependent FCT sign.,27.623404854712653,-21.63621169875713
pf-latency-s29-short,per-flow-all-distinct-keys,control,pf-latency-s29-short,clos-distinct-latency,PER_FLOW_SHORTEST_PATHS,HASH64,1.0,0,29,success,32,32,157.2585075,160.0685,171.43006,13.47691875,391.27443815806026,"{""8"": 2048, ""9"": 0, ""10"": 0}","{""8"": 8548352, ""9"": 0, ""10"": 0}",1,0.3333333333333333,1.0,0.0,6761880,1.0,matched,Shortest-only control stayed on the sole minimum-metric branch.,0.0,0.0
pf-latency-s29-all,per-flow-all-distinct-keys,treatment,pf-latency-s29-short,clos-distinct-latency,PER_FLOW_ALL_PATHS,HASH64,1.0,0,29,success,32,32,142.719546875,139.59666,218.77032,17.269196875,306.63787423384923,"{""8"": 576, ""9"": 832, ""10"": 640}","{""8"": 2404224, ""9"": 3472768, ""10"": 2671360}",3,0.9752380952380952,0.40625,0.71875,2299874,1.0,matched,Distinct flow keys were checked for detour use and regime-dependent FCT sign.,27.614911877181868,-21.63099749695916
pf-latency-s47-short,per-flow-all-distinct-keys,control,pf-latency-s47-short,clos-distinct-latency,PER_FLOW_SHORTEST_PATHS,HASH64,1.0,0,47,success,32,32,143.39553750000002,154.68942,171.4499,15.554975,391.22918233174204,"{""8"": 2048, ""9"": 0, ""10"": 0}","{""8"": 8548352, ""9"": 0, ""10"": 0}",1,0.3333333333333333,1.0,0.0,5730902,1.0,matched,Shortest-only control stayed on the sole minimum-metric branch.,0.0,0.0
pf-latency-s47-all,per-flow-all-distinct-keys,treatment,pf-latency-s47-short,clos-distinct-latency,PER_FLOW_ALL_PATHS,HASH64,1.0,0,47,success,32,32,164.817495625,173.46634,229.99772000000002,15.408684375,291.6746957161211,"{""8"": 384, ""9"": 896, ""10"": 768}","{""8"": 1602816, ""9"": 3739904, ""10"": 3205632}",3,0.9078014184397163,0.4375,0.8125,2358310,1.0,matched,Distinct flow keys were checked for detour use and regime-dependent FCT sign.,34.148646339251286,-25.44659016034338
