test,case,status,tasks,max_sim_complete_us,avg_flow_fct_us,stats_path
test08_dp_all_gather,case03_host_l1_port_down,OK,6840,2301.528514,111.863411,test08_dp_all_gather/case03_host_l1_port_down/output/task_statistics.csv
test08_dp_all_gather,case04_l1_l2_lane_down,MISSING,,,,test08_dp_all_gather/case04_l1_l2_lane_down/output/task_statistics.csv
test08_dp_all_gather,case05_l1_l2_port_down,MISSING,,,,test08_dp_all_gather/case05_l1_l2_port_down/output/task_statistics.csv
test09_dp_reduce_scatter,case01_standard,MISSING,,,,test09_dp_reduce_scatter/case01_standard/output/task_statistics.csv
test09_dp_reduce_scatter,case02_host_l1_lane_down,MISSING,,,,test09_dp_reduce_scatter/case02_host_l1_lane_down/output/task_statistics.csv
test09_dp_reduce_scatter,case03_host_l1_port_down,MISSING,,,,test09_dp_reduce_scatter/case03_host_l1_port_down/output/task_statistics.csv
test09_dp_reduce_scatter,case04_l1_l2_lane_down,MISSING,,,,test09_dp_reduce_scatter/case04_l1_l2_lane_down/output/task_statistics.csv
test09_dp_reduce_scatter,case05_l1_l2_port_down,MISSING,,,,test09_dp_reduce_scatter/case05_l1_l2_port_down/output/task_statistics.csv
test10_pairwise_10mb,case01_standard,OK,144,26.338277,21.425858,test10_pairwise_10mb/case01_standard/output/task_statistics.csv
test10_pairwise_10mb,case02_host_l1_lane_down,OK,144,32.909140,21.262075,test10_pairwise_10mb/case02_host_l1_lane_down/output/task_statistics.csv
test10_pairwise_10mb,case03_host_l1_port_down,OK,144,27.719268,21.385883,test10_pairwise_10mb/case03_host_l1_port_down/output/task_statistics.csv
test10_pairwise_10mb,case04_l1_l2_lane_down,OK,144,27.897931,21.390803,test10_pairwise_10mb/case04_l1_l2_lane_down/output/task_statistics.csv
test10_pairwise_10mb,case05_l1_l2_port_down,OK,144,26.482349,21.160931,test10_pairwise_10mb/case05_l1_l2_port_down/output/task_statistics.csv
