nodeId1,portId1,nodeId2,portId2,bandwidth,delay
5,15,2407,5,112Gbps,20ns
5,16,2408,5,112Gbps,20ns
5,17,2409,5,112Gbps,20ns
5,18,2410,5,112Gbps,20ns
5,19,2411,5,112Gbps,20ns
5,20,2412,5,112Gbps,20ns
5,21,2413,5,112Gbps,20ns
5,22,2414,5,112Gbps,20ns
5,23,2415,5,112Gbps,20ns
5,24,2416,5,112Gbps,20ns
5,25,2417,5,112Gbps,20ns
6,0,2053,2,400Gbps,20ns
6,1,1371,0,400Gbps,20ns
6,2,2394,6,112Gbps,20ns
6,3,2395,6,112Gbps,20ns
6,4,2396,6,112Gbps,20ns
6,5,2397,6,112Gbps,20ns
6,6,2398,6,112Gbps,20ns
6,7,2399,6,112Gbps,20ns
6,8,2400,6,112Gbps,20ns
6,9,2401,6,112Gbps,20ns
6,10,2402,6,112Gbps,20ns
6,11,2403,6,112Gbps,20ns
6,12,2404,6,112Gbps,20ns
6,13,2405,6,112Gbps,20ns
6,14,2406,6,112Gbps,20ns
6,15,2407,6,112Gbps,20ns
6,16,2408,6,112Gbps,20ns
6,17,2409,6,112Gbps,20ns
6,18,2410,6,112Gbps,20ns
6,19,2411,6,112Gbps,20ns
6,20,2412,6,112Gbps,20ns
6,21,2413,6,112Gbps,20ns
6,22,2414,6,112Gbps,20ns
6,23,2415,6,112Gbps,20ns
6,24,2416,6,112Gbps,20ns
6,25,2417,6,112Gbps,20ns
7,0,2053,3,400Gbps,20ns
7,1,1371,1,400Gbps,20ns
7,2,2394,7,112Gbps,20ns
7,3,2395,7,112Gbps,20ns
7,4,2396,7,112Gbps,20ns
7,5,2397,7,112Gbps,20ns
7,6,2398,7,112Gbps,20ns
7,7,2399,7,112Gbps,20ns
7,8,2400,7,112Gbps,20ns
7,9,2401,7,112Gbps,20ns
7,10,2402,7,112Gbps,20ns
7,11,2403,7,112Gbps,20ns
7,12,2404,7,112Gbps,20ns
7,13,2405,7,112Gbps,20ns
7,14,2406,7,112Gbps,20ns
7,15,2407,7,112Gbps,20ns
7,16,2408,7,112Gbps,20ns
7,17,2409,7,112Gbps,20ns
7,18,2410,7,112Gbps,20ns
7,19,2411,7,112Gbps,20ns
7,20,2412,7,112Gbps,20ns
7,21,2413,7,112Gbps,20ns
7,22,2414,7,112Gbps,20ns
7,23,2415,7,112Gbps,20ns
7,24,2416,7,112Gbps,20ns
7,25,2417,7,112Gbps,20ns
8,0,2054,0,400Gbps,20ns
8,1,1372,0,400Gbps,20ns
8,2,2394,8,112Gbps,20ns
8,3,2395,8,112Gbps,20ns
8,4,2396,8,112Gbps,20ns
8,5,2397,8,112Gbps,20ns
8,6,2398,8,112Gbps,20ns
8,7,2399,8,112Gbps,20ns
8,8,2400,8,112Gbps,20ns
8,9,2401,8,112Gbps,20ns
8,10,2402,8,112Gbps,20ns
8,11,2403,8,112Gbps,20ns
8,12,2404,8,112Gbps,20ns
8,13,2405,8,112Gbps,20ns
8,14,2406,8,112Gbps,20ns
8,15,2407,8,112Gbps,20ns
8,16,2408,8,112Gbps,20ns
8,17,2409,8,112Gbps,20ns
8,18,2410,8,112Gbps,20ns
8,19,2411,8,112Gbps,20ns
8,20,2412,8,112Gbps,20ns
8,21,2413,8,112Gbps,20ns
8,22,2414,8,112Gbps,20ns
8,23,2415,8,112Gbps,20ns
8,24,2416,8,112Gbps,20ns
8,25,2417,8,112Gbps,20ns
9,0,2054,1,400Gbps,20ns
9,1,1372,1,400Gbps,20ns
9,2,2394,9,112Gbps,20ns
9,3,2395,9,112Gbps,20ns
9,4,2396,9,112Gbps,20ns
9,5,2397,9,112Gbps,20ns
9,6,2398,9,112Gbps,20ns
9,7,2399,9,112Gbps,20ns
9,8,2400,9,112Gbps,20ns
9,9,2401,9,112Gbps,20ns
9,10,2402,9,112Gbps,20ns
9,11,2403,9,112Gbps,20ns
9,12,2404,9,112Gbps,20ns
9,13,2405,9,112Gbps,20ns
9,14,2406,9,112Gbps,20ns
