nodeId1,portId1,nodeId2,portId2,bandwidth,delay
6,1,1369,6,112Gbps,20ns
6,2,1370,6,112Gbps,20ns
6,3,1371,6,112Gbps,20ns
6,4,1372,6,112Gbps,20ns
6,5,1373,6,112Gbps,20ns
6,6,1374,6,112Gbps,20ns
6,7,1375,6,112Gbps,20ns
6,8,1376,6,112Gbps,20ns
6,9,1377,6,112Gbps,20ns
6,10,1378,6,112Gbps,20ns
6,11,1379,6,112Gbps,20ns
6,12,1380,6,112Gbps,20ns
6,13,1381,6,112Gbps,20ns
6,14,1382,6,112Gbps,20ns
6,15,1383,6,112Gbps,20ns
6,16,1384,6,112Gbps,20ns
6,17,1385,6,112Gbps,20ns
6,18,1386,6,112Gbps,20ns
6,19,1387,6,112Gbps,20ns
6,20,1388,6,112Gbps,20ns
6,21,1389,6,112Gbps,20ns
6,22,1390,6,112Gbps,20ns
6,23,1391,6,112Gbps,20ns
7,0,1368,7,112Gbps,20ns
7,1,1369,7,112Gbps,20ns
7,2,1370,7,112Gbps,20ns
7,3,1371,7,112Gbps,20ns
7,4,1372,7,112Gbps,20ns
7,5,1373,7,112Gbps,20ns
7,6,1374,7,112Gbps,20ns
7,7,1375,7,112Gbps,20ns
7,8,1376,7,112Gbps,20ns
7,9,1377,7,112Gbps,20ns
7,10,1378,7,112Gbps,20ns
7,11,1379,7,112Gbps,20ns
7,12,1380,7,112Gbps,20ns
7,13,1381,7,112Gbps,20ns
7,14,1382,7,112Gbps,20ns
7,15,1383,7,112Gbps,20ns
7,16,1384,7,112Gbps,20ns
7,17,1385,7,112Gbps,20ns
7,18,1386,7,112Gbps,20ns
7,19,1387,7,112Gbps,20ns
7,20,1388,7,112Gbps,20ns
7,21,1389,7,112Gbps,20ns
7,22,1390,7,112Gbps,20ns
7,23,1391,7,112Gbps,20ns
8,0,1368,8,112Gbps,20ns
8,1,1369,8,112Gbps,20ns
8,2,1370,8,112Gbps,20ns
8,3,1371,8,112Gbps,20ns
8,4,1372,8,112Gbps,20ns
8,5,1373,8,112Gbps,20ns
8,6,1374,8,112Gbps,20ns
8,7,1375,8,112Gbps,20ns
8,8,1376,8,112Gbps,20ns
8,9,1377,8,112Gbps,20ns
8,10,1378,8,112Gbps,20ns
8,11,1379,8,112Gbps,20ns
8,12,1380,8,112Gbps,20ns
8,13,1381,8,112Gbps,20ns
8,14,1382,8,112Gbps,20ns
8,15,1383,8,112Gbps,20ns
8,16,1384,8,112Gbps,20ns
8,17,1385,8,112Gbps,20ns
8,18,1386,8,112Gbps,20ns
8,19,1387,8,112Gbps,20ns
8,20,1388,8,112Gbps,20ns
8,21,1389,8,112Gbps,20ns
8,22,1390,8,112Gbps,20ns
8,23,1391,8,112Gbps,20ns
9,0,1368,9,112Gbps,20ns
9,1,1369,9,112Gbps,20ns
9,2,1370,9,112Gbps,20ns
9,3,1371,9,112Gbps,20ns
9,4,1372,9,112Gbps,20ns
9,5,1373,9,112Gbps,20ns
9,6,1374,9,112Gbps,20ns
9,7,1375,9,112Gbps,20ns
9,8,1376,9,112Gbps,20ns
9,9,1377,9,112Gbps,20ns
9,10,1378,9,112Gbps,20ns
9,11,1379,9,112Gbps,20ns
9,12,1380,9,112Gbps,20ns
9,13,1381,9,112Gbps,20ns
9,14,1382,9,112Gbps,20ns
9,15,1383,9,112Gbps,20ns
9,16,1384,9,112Gbps,20ns
9,17,1385,9,112Gbps,20ns
9,18,1386,9,112Gbps,20ns
9,19,1387,9,112Gbps,20ns
9,20,1388,9,112Gbps,20ns
9,21,1389,9,112Gbps,20ns
9,22,1390,9,112Gbps,20ns
9,23,1391,9,112Gbps,20ns
10,0,1368,10,112Gbps,20ns
10,1,1369,10,112Gbps,20ns
10,2,1370,10,112Gbps,20ns
10,3,1371,10,112Gbps,20ns
10,4,1372,10,112Gbps,20ns
10,5,1373,10,112Gbps,20ns
10,6,1374,10,112Gbps,20ns
10,7,1375,10,112Gbps,20ns
10,8,1376,10,112Gbps,20ns
10,9,1377,10,112Gbps,20ns
10,10,1378,10,112Gbps,20ns
10,11,1379,10,112Gbps,20ns
10,12,1380,10,112Gbps,20ns
10,13,1381,10,112Gbps,20ns
10,14,1382,10,112Gbps,20ns
10,15,1383,10,112Gbps,20ns
10,16,1384,10,112Gbps,20ns
10,17,1385,10,112Gbps,20ns
10,18,1386,10,112Gbps,20ns
10,19,1387,10,112Gbps,20ns
10,20,1388,10,112Gbps,20ns
10,21,1389,10,112Gbps,20ns
10,22,1390,10,112Gbps,20ns
10,23,1391,10,112Gbps,20ns
11,0,1368,11,112Gbps,20ns
11,1,1369,11,112Gbps,20ns
11,2,1370,11,112Gbps,20ns
11,3,1371,11,112Gbps,20ns
11,4,1372,11,112Gbps,20ns
11,5,1373,11,112Gbps,20ns
11,6,1374,11,112Gbps,20ns
11,7,1375,11,112Gbps,20ns
11,8,1376,11,112Gbps,20ns
11,9,1377,11,112Gbps,20ns
11,10,1378,11,112Gbps,20ns
11,11,1379,11,112Gbps,20ns
11,12,1380,11,112Gbps,20ns
11,13,1381,11,112Gbps,20ns
11,14,1382,11,112Gbps,20ns
11,15,1383,11,112Gbps,20ns
11,16,1384,11,112Gbps,20ns
11,17,1385,11,112Gbps,20ns
11,18,1386,11,112Gbps,20ns
11,19,1387,11,112Gbps,20ns
11,20,1388,11,112Gbps,20ns
11,21,1389,11,112Gbps,20ns
11,22,1390,11,112Gbps,20ns
11,23,1391,11,112Gbps,20ns
12,0,1368,12,112Gbps,20ns
12,1,1369,12,112Gbps,20ns
12,2,1370,12,112Gbps,20ns
12,3,1371,12,112Gbps,20ns
12,4,1372,12,112Gbps,20ns
12,5,1373,12,112Gbps,20ns
12,6,1374,12,112Gbps,20ns
12,7,1375,12,112Gbps,20ns
12,8,1376,12,112Gbps,20ns
12,9,1377,12,112Gbps,20ns
12,10,1378,12,112Gbps,20ns
12,11,1379,12,112Gbps,20ns
12,12,1380,12,112Gbps,20ns
12,13,1381,12,112Gbps,20ns
12,14,1382,12,112Gbps,20ns
12,15,1383,12,112Gbps,20ns
12,16,1384,12,112Gbps,20ns
12,17,1385,12,112Gbps,20ns
12,18,1386,12,112Gbps,20ns
12,19,1387,12,112Gbps,20ns
12,20,1388,12,112Gbps,20ns
12,21,1389,12,112Gbps,20ns
12,22,1390,12,112Gbps,20ns
12,23,1391,12,112Gbps,20ns
13,0,1368,13,112Gbps,20ns
13,1,1369,13,112Gbps,20ns
13,2,1370,13,112Gbps,20ns
13,3,1371,13,112Gbps,20ns
13,4,1372,13,112Gbps,20ns
13,5,1373,13,112Gbps,20ns
13,6,1374,13,112Gbps,20ns
13,7,1375,13,112Gbps,20ns
13,8,1376,13,112Gbps,20ns
13,9,1377,13,112Gbps,20ns
13,10,1378,13,112Gbps,20ns
13,11,1379,13,112Gbps,20ns
13,12,1380,13,112Gbps,20ns
13,13,1381,13,112Gbps,20ns
13,14,1382,13,112Gbps,20ns
13,15,1383,13,112Gbps,20ns
13,16,1384,13,112Gbps,20ns
13,17,1385,13,112Gbps,20ns
13,18,1386,13,112Gbps,20ns
13,19,1387,13,112Gbps,20ns
13,20,1388,13,112Gbps,20ns
13,21,1389,13,112Gbps,20ns
13,22,1390,13,112Gbps,20ns
13,23,1391,13,112Gbps,20ns
14,0,1368,14,112Gbps,20ns
14,1,1369,14,112Gbps,20ns
14,2,1370,14,112Gbps,20ns
14,3,1371,14,112Gbps,20ns
14,4,1372,14,112Gbps,20ns
14,5,1373,14,112Gbps,20ns
14,6,1374,14,112Gbps,20ns
14,7,1375,14,112Gbps,20ns
14,8,1376,14,112Gbps,20ns
14,9,1377,14,112Gbps,20ns
14,10,1378,14,112Gbps,20ns
14,11,1379,14,112Gbps,20ns
14,12,1380,14,112Gbps,20ns
14,13,1381,14,112Gbps,20ns
